T1;S1;T2;S2;T3;S3;T4;S4
0;-0.07;0;-0.072;0;-0.07;0;-0.07
0.05;-0.07;0.06;-0.072;0.05;-0.07;0;-0.07
0.11;-0.07;0.11;-0.072;0.1;-0.07;0.06;-0.07
0.16;-0.07;0.16;-0.072;0.16;-0.07;0.11;-0.07
0.21;-0.07;0.21;-0.072;0.21;-0.07;0.16;-0.07
0.26;-0.07;0.26;-0.072;0.25;-0.07;0.2;-0.07
0.31;-0.07;0.3;-0.072;0.3;-0.07;0.26;-0.07
0.36;-0.07;0.36;-0.071;0.35;-0.07;0.31;-0.07
0.41;-0.07;0.41;-0.071;0.41;-0.07;0.37;-0.07
0.46;-0.07;0.46;-0.07;0.46;-0.07;0.41;-0.07
0.51;-0.07;0.51;-0.069;0.51;-0.07;0.45;-0.07
0.57;-0.07;0.56;-0.067;0.55;-0.07;0.51;-0.07
0.61;-0.07;0.61;-0.063;0.61;-0.07;0.56;-0.07
0.66;-0.07;0.67;-0.059;0.66;-0.07;0.62;-0.069
0.7;-0.07;0.71;-0.053;0.71;-0.07;0.66;-0.068
0.76;-0.07;0.76;-0.046;0.76;-0.069;0.72;-0.064
0.8;-0.07;0.82;-0.035;0.81;-0.067;0.75;-0.061
0.86;-0.07;0.86;-0.026;0.86;-0.064;0.81;-0.054
0.91;-0.07;0.9;-0.017;0.91;-0.058;0.87;-0.045
0.97;-0.07;0.97;-0.001;0.96;-0.051;0.92;-0.034
1.01;-0.07;1.02;0.012;1;-0.044;0.96;-0.024
1.08;-0.07;1.05;0.019;1.05;-0.033;1;-0.015
1.11;-0.07;1.12;0.033;1.11;-0.018;1.07;0.004
1.15;-0.07;1.16;0.038;1.17;-0.001;1.11;0.016
1.21;-0.07;1.22;0.045;1.2;0.008;1.17;0.029
1.27;-0.07;1.26;0.047;1.27;0.026;1.21;0.038
1.31;-0.07;1.32;0.05;1.32;0.04;1.27;0.046
1.36;-0.07;1.37;0.051;1.38;0.048;1.31;0.051
1.42;-0.07;1.41;0.051;1.4;0.051;1.35;0.053
1.47;-0.07;1.46;0.051;1.47;0.056;1.41;0.055
1.52;-0.07;1.51;0.05;1.5;0.056;1.48;0.056
1.56;-0.07;1.58;0.046;1.57;0.057;1.51;0.056
1.6;-0.07;1.63;0.043;1.61;0.057;1.56;0.056
1.66;-0.07;1.66;0.039;1.67;0.057;1.62;0.056
1.73;-0.07;1.73;0.03;1.73;0.057;1.67;0.054
