6-T,6-A1,6-B1,11.5-T,11.5-A1,11.5-B1,13.8-T,13.8-A1,13.8-B1,21.5-T,21.5-A1,21.5-B1,26.5-T,26.5-A1,26.5-B1,29.5-T,29.5-A1,29.5-B1
0,-0.0009,0.0005,0,-0.0185,0.015,0,-0.0003,-0.0018,0,-0.0261,0.0278,0,-0.0003,-0.0018,0,-0.0069,0.0102
0.1,-0.0099,0.0104,0.1,-0.0204,0.0182,0.1,0,-0.0011,0.1,-0.0285,0.0302,0.1,-0.0006,-0.002,0.1,-0.0168,0.0156
0.2,-0.0219,0.0192,0.2,-0.0158,0.0141,0.2,-0.0002,-0.0017,0.2,-0.0173,0.0162,0.2,-0.0003,-0.0015,0.2,-0.0182,0.0159
0.3,-0.0207,0.021,0.3,-0.0065,0.0041,0.3,0.0005,-0.0033,0.3,0.0129,-0.0165,0.3,-0.0003,-0.0012,0.3,-0.0084,0.0018
0.4,-0.0164,0.0155,0.4,-0.0005,-0.0057,0.4,0.0042,-0.006,0.4,0.0215,-0.0281,0.4,-0.0093,0.0125,0.4,0.0003,-0.012
0.5,-0.0059,0.0056,0.5,0.0134,-0.0144,0.5,0.0045,-0.0096,0.5,0.0231,-0.0281,0.5,-0.0261,0.0275,0.5,0.0128,-0.0185
0.6,0.0012,-0.0054,0.6,0.0183,-0.0186,0.6,0.0035,-0.0074,0.6,0.0167,-0.0134,0.6,-0.0251,0.0275,0.6,0.0125,-0.0189
0.7,0.0113,-0.0143,0.7,0.0165,-0.0174,0.7,0.002,-0.0044,0.7,-0.0009,0.0027,0.7,-0.0129,0.012,0.7,0.012,-0.0059
0.8,0.0177,-0.0207,0.8,0.0089,-0.0098,0.8,-0.0003,-0.0029,0.8,-0.018,0.0173,0.8,0.0012,-0.0117,0.8,-0.0063,0.0066
0.9,0.0176,-0.0209,0.9,-0.0005,-0.0011,0.9,-0.0005,-0.0033,0.9,-0.0245,0.0237,0.9,0.0222,-0.0302,0.9,-0.0143,0.0146
1,0.0111,-0.0146,1,-0.0108,0.0081,1,-0.0003,-0.0005,1,-0.0207,0.0188,1,0.0231,-0.0297,1,-0.0149,0.0147
1.1,0.0059,-0.0059,1.1,-0.0168,0.0131,1.1,-0.0005,-0.0012,1.1,-0.0044,0.0027,1.1,0.0111,-0.0153,1.1,-0.0053,0.0066
1.2,-0.0054,0.0039,1.2,-0.0177,0.0137,1.2,-0.0014,-0.0015,1.2,0.0096,-0.0117,1.2,-0.0011,0.0005,1.2,-0.0006,-0.0083
1.3,-0.0134,0.0119,1.3,-0.0129,0.0096,1.3,-0.0003,-0.0017,1.3,0.0218,-0.0237,1.3,-0.0242,0.0234,1.3,0.0141,-0.0158
1.4,-0.0177,0.017,1.4,-0.0041,0.0002,1.4,-0.0011,-0.0023,1.4,0.0222,-0.0246,1.4,-0.0245,0.024,1.4,0.0141,-0.0173
1.5,-0.0155,0.0165,1.5,0.0065,-0.0084,1.5,-0.0042,0.0039,1.5,0.014,-0.0174,1.5,-0.0164,0.0159,1.5,0.0038,-0.009
1.6,-0.0117,0.0098,1.6,0.0137,-0.0143,1.6,-0.0089,0.0104,1.6,0.0002,-0.0035,1.6,0.0008,-0.0015,1.6,-0.0081,0.0038
1.7,-0.0033,0.0018,1.7,0.0161,-0.0156,1.7,-0.0144,0.0135,1.7,-0.0153,0.0119,1.7,0.0224,-0.0239,1.7,-0.0155,0.0108
1.8,0.0063,-0.0087,1.8,0.0138,-0.0143,1.8,-0.0129,0.0101,1.8,-0.0221,0.0212,1.8,0.0266,-0.0261,1.8,-0.0138,0.0111
1.9,0.0128,-0.0168,1.9,0.006,-0.0054,1.9,-0.0075,0.0051,1.9,-0.0188,0.015,1.9,0.0174,-0.0149,1.9,-0.008,0.0057
