6-T,6-A1,6-B1,11.5-T,11.5-A1,11.5-B1,13.8-T,13.8-A1,13.8-B1,21.5-T,21.5-A1,21.5-B1,26.5-T,26.5-A1,26.5-B1,29.5-T,29.5-A1,29.5-B1
0,-0.0005,-0.0018,0,-0.0005,-0.0014,0,-0.0227,-0.0189,0,-0.0008,-0.0015,0,-0.0008,-0.0018,0,-0.0006,-0.0014
0.1,-0.0015,-0.0014,0.1,0.0056,0.0096,0.1,-0.0242,-0.0183,0.1,-0.0018,-0.002,0.1,-0.0008,-0.0014,0.1,-0.0005,-0.0011
0.2,-0.0006,-0.0009,0.2,0.0104,0.0174,0.2,-0.0185,-0.0141,0.2,-0.0021,-0.0012,0.2,-0.0006,-0.0009,0.2,-0.0003,-0.0017
0.3,0.0002,-0.0021,0.3,0.0182,0.0278,0.3,-0.0078,-0.006,0.3,-0.009,-0.0071,0.3,-0.0008,-0.0011,0.3,-0.0012,-0.0024
0.4,-0.0038,-0.0075,0.4,0.0201,0.0282,0.4,0,0.0018,0.4,-0.0216,-0.0149,0.4,-0.0102,-0.0093,0.4,-0.0075,-0.011
0.5,-0.0099,-0.0135,0.5,0.0161,0.0188,0.5,0.0152,0.0092,0.5,-0.0254,-0.018,0.5,-0.0191,-0.0168,0.5,-0.0158,-0.0197
0.6,-0.0147,-0.0165,0.6,0.0062,0.0048,0.6,0.021,0.0143,0.6,-0.0216,-0.0186,0.6,-0.0197,-0.0206,0.6,-0.0191,-0.0227
0.7,-0.0188,-0.0156,0.7,-0.0006,-0.0138,0.7,0.021,0.0147,0.7,-0.012,-0.015,0.7,-0.0197,-0.021,0.7,-0.0177,-0.0191
0.8,-0.0144,-0.0096,0.8,-0.0125,-0.0252,0.8,0.0137,0.0107,0.8,-0.0002,-0.0077,0.8,-0.0138,-0.0146,0.8,-0.0107,-0.009
0.9,-0.005,-0.0017,0.9,-0.0195,-0.0318,0.9,0.0032,0.0039,0.9,0.0119,0.0032,0.9,-0.0069,-0.0062,0.9,-0.0009,0.0005
1,-0.0003,0.0044,1,-0.0209,-0.0275,1,-0.0071,-0.0054,1,0.0185,0.0114,1,0.0059,0.0041,1,0.009,0.0089
1.1,0.0096,0.0107,1.1,-0.0173,-0.02,1.1,-0.0161,-0.0122,1.1,0.0192,0.0159,1.1,0.0152,0.0111,1.1,0.0144,0.0144
1.2,0.0146,0.0119,1.2,-0.008,-0.0054,1.2,-0.0183,-0.0173,1.2,0.0144,0.0182,1.2,0.0192,0.0176,1.2,0.0173,0.017
1.3,0.015,0.0111,1.3,-0.0006,0.0101,1.3,-0.0189,-0.0177,1.3,0.0069,0.0141,1.3,0.0183,0.017,1.3,0.015,0.0116
1.4,0.0105,0.0057,1.4,0.0122,0.0225,1.4,-0.0114,-0.0137,1.4,-0.0009,0.0021,1.4,0.0111,0.0125,1.4,0.0086,0.006
1.5,0.0042,-0.0009,1.5,0.0182,0.0258,1.5,-0.0018,-0.0059,1.5,-0.0111,-0.0102,1.5,0.002,0.0011,1.5,-0.0011,-0.0024
1.6,-0.0051,-0.0077,1.6,0.0194,0.0218,1.6,0.0078,0.0026,1.6,-0.015,-0.0198,1.6,-0.0078,-0.0098,1.6,-0.0096,-0.0131
1.7,-0.0108,-0.0123,1.7,0.0158,0.0105,1.7,0.0147,0.0087,1.7,-0.0156,-0.0231,1.7,-0.0144,-0.0177,1.7,-0.0156,-0.018
1.8,-0.0143,-0.0137,1.8,0.0054,-0.0041,1.8,0.0174,0.0131,1.8,-0.0119,-0.0209,1.8,-0.0176,-0.0215,1.8,-0.0176,-0.0179
1.9,-0.0141,-0.0123,1.9,-0.0011,-0.0126,1.9,0.0149,0.0143,1.9,-0.0077,-0.0155,1.9,-0.0165,-0.0188,1.9,-0.0159,-0.0164
2,-0.0111,-0.0075,2,-0.0116,-0.0251,2,0.0078,0.0102,2,-0.0003,-0.0017,2,-0.0108,-0.0125,2,-0.0078,-0.0071
2.1,-0.0027,-0.0015,2.1,-0.0185,-0.027,2.1,-0.0009,0.0015,2.1,0.0053,0.0104,2.1,-0.0036,-0.0044,2.1,0.0008,0.0008
2.2,-0.0003,0.0023,2.2,-0.0204,-0.0225,2.2,-0.0086,-0.0083,2.2,0.0092,0.0164,2.2,0.0065,0.0084,2.2,0.0099,0.0096
2.3,0.0086,0.0069,2.3,-0.0177,-0.0122,2.3,-0.014,-0.012,2.3,0.0111,0.0189,2.3,0.0123,0.0147,2.3,0.0134,0.0122
2.4,0.0119,0.0084,2.4,-0.0078,0.0041,2.4,-0.0164,-0.0171,2.4,0.0108,0.0134,2.4,0.0155,0.0168,2.4,0.0146,0.0132
2.5,0.0117,0.0078,2.5,0.0003,0.0095,2.5,-0.014,-0.0177,2.5,0.0075,0.0041,2.5,0.0141,0.0129,2.5,0.0105,0.0102
2.6,0.0069,0.0033,2.6,0.0134,0.0194,2.6,-0.006,-0.0098,2.6,0.0015,-0.0074,2.6,0.0105,0.0087,2.6,0.0041,0.0038
2.7,0.0029,-0.0005,2.7,0.0188,0.0207,2.7,-0.0003,-0.0038,2.7,-0.0027,-0.0158,2.7,0.003,-0.0003,2.7,-0.0014,-0.0069
2.8,-0.0044,-0.0066,2.8,0.0191,0.014,2.8,0.0062,0.0027,2.8,-0.0099,-0.0206,2.8,-0.0074,-0.0117,2.8,-0.0087,-0.0108
2.9,-0.0099,-0.0096,2.9,0.0149,0.0047,2.9,0.0117,0.0116,2.9,-0.014,-0.0195,2.9,-0.0131,-0.0171,2.9,-0.0143,-0.0167
3,-0.0123,-0.0105,3,0.0053,-0.0054,3,0.0122,0.0146,3,-0.0149,-0.012,3,-0.0164,-0.0174,3,-0.0146,-0.0159
3.1,-0.0114,-0.0102,3.1,-0.0017,-0.0189,3.1,0.0104,0.0143,3.1,-0.0102,-0.0021,3.1,-0.0162,-0.0158,3.1,-0.0116,-0.0125
3.2,-0.0081,-0.0039,3.2,-0.012,-0.0201,3.2,0.0035,0.006,3.2,-0.0054,0.0026,3.2,-0.0117,-0.0104,3.2,-0.0053,-0.0021
3.3,-0.003,-0.0029,3.3,-0.0189,-0.0227,3.3,-0.0009,-0.0017,3.3,0.0047,0.0098,3.3,-0.0005,0.0005,3.3,0.0002,0.0011
3.4,0.0035,0.0017,3.4,-0.02,-0.0153,3.4,-0.0078,-0.011,3.4,0.0114,0.012,3.4,0.0095,0.0083,3.4,0.0068,0.0065
3.5,0.008,0.0056,3.5,-0.0144,-0.0074,3.5,-0.0092,-0.0158,3.5,0.0152,0.0108,3.5,0.0117,0.0095,3.5,0.0114,0.0122
3.6,0.0098,0.0066,3.6,-0.006,0.0035,3.6,-0.0113,-0.0168,3.6,0.0141,0.0039,3.6,0.015,0.0122,3.6,0.0122,0.011
