Corriente I ;Voltaje V 
-1,288990;-0,097501
-1,250618;-0,095001
-1,245555;-0,092500
-1,216814;-0,090000
-1,181630;-0,087499
-1,143950;-0,085000
-1,106093;-0,082502
-1,068030;-0,080002
-1,030351;-0,077502
-0,993013;-0,075000
-0,956194;-0,072502
-0,919698;-0,070004
-0,883527;-0,067504
-0,847688;-0,065004
-0,812226;-0,062503
-0,777147;-0,060002
-0,742339;-0,057504
-0,707767;-0,055004
-0,673508;-0,052504
-0,639514;-0,050003
-0,605774;-0,047500
-0,572345;-0,045001
-0,539177;-0,042503
-0,506169;-0,040002
-0,473397;-0,037502
-0,440798;-0,035000
-0,408441;-0,032500
-0,376275;-0,030001
-0,344251;-0,027501
-0,312391;-0,025001
-0,280679;-0,022500
-0,249078;-0,019997
-0,217654;-0,017499
-0,186277;-0,014999
-0,155047;-0,012499
-0,123938;-0,010000
-0,092892;-0,007500
-0,061906;-0,005000
-0,030959;-0,002500
-0,000037;0,000000
0,030871;0,002500
0,061792;0,005000
0,092737;0,007500
0,123730;0,010000
0,154790;0,012499
0,185937;0,015000
0,217035;0,017498
0,248268;0,019996
0,279678;0,022499
0,311204;0,024999
0,342896;0,027501
0,374712;0,030000
0,406725;0,032500
0,438910;0,034999
0,471311;0,037500
0,503926;0,040002
0,536723;0,042501
0,569751;0,045001
0,603041;0,047500
0,636551;0,050000
0,670396;0,052503
0,704426;0,055003
0,738750;0,057502
0,773453;0,060001
0,808345;0,062501
0,843607;0,065003
0,879196;0,067503
0,915225;0,070003
0,951487;0,072501
0,988250;0,075001
1,025339;0,077501
1,062783;0,080001
1,100815;0,082502
1,139262;0,085000
1,177962;0,087500
1,217273;0,090000
1,257216;0,092500
1,297695;0,095002
1,338712;0,097501
1,379814;0,100001
1,421647;0,102500
1,464148;0,105001
1,511326;0,107525
1,555539;0,110031
1,600011;0,112523
1,645080;0,115025
1,690876;0,117526
1,737970;0,120031
1,785116;0,122524
1,833497;0,125025
1,882298;0,127516
1,932243;0,130026
1,982589;0,132530
2,034450;0,135025
2,087710;0,137529
2,171085;0,140016
2,225369;0,142508
2,276889;0,145003
2,329542;0,147504
2,382518;0,149997
2,436901;0,152520
2,491414;0,155008
2,547221;0,157504
2,603381;0,160006
2,660843;0,162501
2,719393;0,165000
2,778037;0,167495
2,838270;0,169999
2,898890;0,172490
2,961698;0,175006
3,024516;0,177501
3,088913;0,179996
3,154740;0,182492
3,220992;0,184990
3,288822;0,187487
3,357639;0,189985
3,428419;0,192485
3,500141;0,194993
3,573310;0,197513
3,648283;0,200009
3,723603;0,202504
3,800869;0,205005
3,879651;0,207505
3,960271;0,210011
4,041970;0,212506
4,125191;0,215005
4,210323;0,217499
4,297623;0,220002
4,386928;0,222509
4,477825;0,225017
4,570288;0,227512
4,665194;0,230012
4,761298;0,232516
4,859814;0,235016
4,961100;0,237518
5,065071;0,240015
5,169448;0,242505
5,278518;0,245025
5,388870;0,247517
5,503022;0,250021
5,618199;0,252520
5,736225;0,255017
5,857275;0,257514
5,980622;0,260009
6,108028;0,262508
6,240087;0,265009
6,372466;0,267515
6,509520;0,270014
6,640044;0,272514
6,792929;0,275006
6,941061;0,277503
7,091903;0,280006
7,246346;0,282503
7,406653;0,284994
7,570695;0,287492
7,736762;0,289998
7,909129;0,292502
8,085382;0,295000
8,265428;0,297492
8,454727;0,299984
8,643998;0,302480
8,841902;0,304980
9,045716;0,307476
9,252217;0,309973
9,463123;0,312483
9,684160;0,314982
9,910712;0,317487
10,134899;0,319981
10,376536;0,322481
10,623202;0,324970
10,872603;0,327467
11,133916;0,329972
11,401127;0,332466
11,672547;0,334976
11,958490;0,337474
12,239933;0,339972
12,540587;0,342470
12,841263;0,344969
13,159066;0,347457
13,468338;0,349953
13,805634;0,352452
14,142417;0,354949
14,495378;0,357447
14,845366;0,359966
15,216737;0,362457
15,602901;0,364957
15,984832;0,367454
16,373796;0,369956
16,784777;0,372445
17,199692;0,374944
17,620386;0,377447
18,050068;0,379935
18,494034;0,382453
18,941086;0,384943
19,399143;0,387435
19,864500;0,389934
20,347277;0,392431
20,816710;0,394929
21,001394;0,394964
21,001398;0,389680
