T_fil;R_fil;i_man;v_man;i_aut;v_aut
300;5.64;0.0005;0.00031;-0.00128899;-0.097501
400;8.06;0.0006;0.00115;-0.001250618;-0.095001
500;10.74;0.0007;0.00229;-0.001245555;-0.0925
600;13.54;0.0008;0.00345;-0.001216814;-0.09
700;16.46;0.0009;0.0046;-0.00118163;-0.087499
800;19.47;0.0015;0.01146;-0.00114395;-0.085
900;22.58;0.0016;0.01261;-0.001106093;-0.082502
1000;25.7;0.0017;0.01376;-0.00106803;-0.080002
1100;28.85;0.0018;0.0149;-0.001030351;-0.077502
1200;32.02;0.0019;0.01605;-0.000993013;-0.075
1300;35.24;0.0025;0.02291;-0.000956194;-0.072502
1400;38.52;0.0026;0.02406;-0.000919698;-0.070004
1500;41.85;0.0027;0.02521;-0.000883527;-0.067504
1600;45.22;0.0028;0.02636;-0.000847688;-0.065004
1700;48.63;0.0029;0.02751;-0.000812226;-0.062503
1800;52.08;0.0035;0.03438;-0.000777147;-0.060002
1900;55.57;0.0036;0.03553;-0.000742339;-0.057504
2000;59.1;0.0037;0.03668;-0.000707767;-0.055004
2100;62.65;0.0038;0.03783;-0.000673508;-0.052504
2200;66.25;0.0039;0.03898;-0.000639514;-0.050003
2300;69.9;0.0045;0.04585;-0.000605774;-0.0475
2400;73.55;0.0046;0.04699;-0.000572345;-0.045001
2500;77.25;0.0047;0.04814;-0.000539177;-0.042503
2600;81.0;0.0048;0.04929;-0.000506169;-0.040002
2700;84.7;0.0049;0.05044;-0.000473397;-0.037502
2800;88.5;0.0055;0.05732;-0.000440798;-0.035
2900;92.3;0.0056;0.05847;-0.000408441;-0.0325
3000;96.2;0.0057;0.05962;-0.000376275;-0.030001
3100;100.0;0.0058;0.06078;-0.000344251;-0.027501
3200;103.8;0.0059;0.06193;-0.000312391;-0.025001
3300;107.8;0.0065;0.0688;-0.000280679;-0.0225
3400;111.7;0.0066;0.06995;-0.000249078;-0.019997
3500;115.7;0.0067;0.0711;-0.000217654;-0.017499
3655;121.8;0.0068;0.07225;-0.000186277;-0.014999
;;0.0069;0.0534;-0.000155047;-0.012499
;;0.0075;0.08028;-0.000123938;-0.01
;;0.0076;0.0812;-0.000092892;-0.0075
;;0.0077;0.08259;-0.000061906;-0.005
;;0.0078;0.08375;-0.000030959;-0.0025
;;0.0079;0.0849;-0.000000037;0
;;0.0085;0.09177;0.000030871;0.0025
;;0.0086;0.09293;0.000061792;0.005
;;0.0087;0.09468;0.000092737;0.0075
;;0.0088;0.09523;0.00012373;0.01
;;0.0089;0.09639;0.00015479;0.012499
;;0.0095;0.10329;0.000185937;0.015
;;0.0096;0.10445;0.000217035;0.017498
;;0.0097;0.1056;0.000248268;0.019996
;;0.0098;0.10676;0.000279678;0.022499
;;0.0099;0.10791;0.000311204;0.024999
;;0.0105;0.11486;0.000342896;0.027501
;;0.0106;0.11602;0.000374712;0.03
;;0.0107;0.11717;0.000406725;0.0325
;;0.0108;0.11833;0.00043891;0.034999
;;0.0109;0.11948;0.000471311;0.0375
;;0.0115;0.12639;0.000503926;0.040002
;;0.0116;0.12845;0.000536723;0.042501
;;0.0117;0.1287;0.000569751;0.045001
;;0.0118;0.12986;0.000603041;0.0475
;;0.0119;0.13102;0.000636551;0.05
;;0.0125;0.13793;0.000670396;0.052503
;;0.0126;0.13909;0.000704426;0.055003
;;0.0127;0.14025;0.00073875;0.057502
;;0.0128;0.14141;0.000773453;0.060001
;;0.0129;0.14257;0.000808345;0.062501
;;0.0135;0.14949;0.000843607;0.065003
;;0.0136;0.15065;0.000879196;0.067503
;;0.0137;0.15179;0.000915225;0.070003
;;0.0138;0.15295;0.000951487;0.072501
;;0.0139;0.15411;0.00098825;0.075001
;;0.0145;0.16102;0.001025339;0.077501
;;0.0146;0.1622;0.001062783;0.080001
;;0.0147;0.16336;0.001100815;0.082502
;;0.0148;0.16452;0.001139262;0.085
;;0.0149;0.16568;0.001177962;0.0875
;;0.0155;0.17262;0.001217273;0.09
;;0.0156;0.17379;0.001257216;0.0925
;;0.0157;0.17496;0.001297695;0.095002
;;0.0158;0.17612;0.001338712;0.097501
;;0.0159;0.17728;0.001379814;0.100001
;;0.0165;0.18423;0.001421647;0.1025
;;0.0166;0.1854;0.001464148;0.105001
;;0.0167;0.18656;0.001511326;0.107525
;;0.0168;0.18773;0.001555539;0.110031
;;0.0169;0.1889;0.001600011;0.112523
;;0.0175;0.19587;0.00164508;0.115025
;;0.0176;0.19705;0.001690876;0.117526
;;0.0177;0.19823;0.00173797;0.120031
;;0.0178;0.1994;0.001785116;0.122524
;;0.0179;0.20058;0.001833497;0.125025
;;0.0185;0.20757;0.001882298;0.127516
;;0.0186;0.20874;0.001932243;0.130026
;;0.0187;0.20993;0.001982589;0.13253
;;0.0188;0.21111;0.00203445;0.135025
;;0.0189;0.2123;0.00208771;0.137529
;;0.0195;0.21929;0.002171085;0.140016
