Voltaje,Corriente,Resistencia 
0.030871,0.0025,12.3484
0.061792,0.005,12.3584
0.092737,0.0075,12.36493333
0.12373,0.01,12.373
0.15479,0.012499,12.38419074
0.185937,0.015,12.3958
0.217035,0.017498,12.40341753
0.248268,0.019996,12.41588318
0.279678,0.022499,12.43068581
0.311204,0.024999,12.44865795
0.342896,0.027501,12.46849205
0.374712,0.03,12.4904
0.406725,0.0325,12.51461538
0.43891,0.034999,12.54064402
0.471311,0.0375,12.56829333
0.503926,0.040002,12.59752012
0.536723,0.042501,12.62847933
0.569751,0.045001,12.66085198
0.603041,0.0475,12.6956
0.636551,0.05,12.73102
0.670396,0.052503,12.76871798
0.704426,0.055003,12.80704689
0.73875,0.057502,12.84737922
0.773453,0.060001,12.89066849
0.808345,0.062501,12.93331307
0.843607,0.065003,12.97797025
0.879196,0.067503,13.02454706
0.915225,0.070003,13.07408254
0.951487,0.072501,13.1237776
0.98825,0.075001,13.17649098
1.025339,0.077501,13.23000994
1.062783,0.080001,13.28462144
1.100815,0.082502,13.34288866
1.139262,0.085,13.40308235
1.177962,0.0875,13.46242286
1.217273,0.09,13.52525556
1.257216,0.0925,13.59152432
1.297695,0.095002,13.6596598
1.338712,0.097501,13.73023866
1.379814,0.100001,13.79800202
1.421647,0.1025,13.86972683
1.464148,0.105001,13.94413387
1.511326,0.107525,14.05557777
1.555539,0.110031,14.13727949
1.600011,0.112523,14.21941292
1.64508,0.115025,14.30193436
1.690876,0.117526,14.38725048
1.73797,0.120031,14.47934284
1.785116,0.122524,14.56952107
1.833497,0.125025,14.66504299
1.882298,0.127516,14.76126917
1.932243,0.130026,14.86043561
1.982589,0.13253,14.95954878
2.03445,0.135025,15.06720978
2.08771,0.137529,15.18014382
2.171085,0.140016,15.50597789
2.225369,0.142508,15.61574789
2.276889,0.145003,15.70235788
2.329542,0.147504,15.7930768
2.382518,0.149997,15.88377101
2.436901,0.15252,15.97758327
2.491414,0.155008,16.07280915
2.547221,0.157504,16.17242102
2.603381,0.160006,16.27052111
2.660843,0.162501,16.3743177
2.719393,0.165,16.4811697
2.778037,0.167495,16.58579062
2.83827,0.169999,16.69580409
2.89889,0.17249,16.80613369
2.961698,0.175006,16.92340834
3.024516,0.177501,17.03943076
3.088913,0.179996,17.16100913
3.15474,0.182492,17.28700436
3.220992,0.18499,17.41170874
3.288822,0.187487,17.54160022
3.357639,0.189985,17.67317946
3.428419,0.192485,17.81135673
3.500141,0.194993,17.95008539
3.57331,0.197513,18.09151803
3.648283,0.200009,18.24059417
3.723603,0.202504,18.38779975
3.800869,0.205005,18.54037219
3.879651,0.207505,18.69666273
3.960271,0.210011,18.85744556
4.04197,0.212506,19.02049824
4.125191,0.215005,19.18648869
4.210323,0.217499,19.3578959
4.297623,0.220002,19.53447241
4.386928,0.222509,19.71573285
4.477825,0.225017,19.89994089
4.570288,0.227512,20.08811843
4.665194,0.230012,20.28239396
4.761298,0.232516,20.47729189
4.859814,0.235016,20.67865167
4.9611,0.237518,20.88725907
5.065071,0.240015,21.10314355
5.169448,0.242505,21.31687182
5.278518,0.245025,21.54277319
5.38887,0.247517,21.77171669
5.503022,0.250021,22.01023914
5.618199,0.25252,22.24853081
5.736225,0.255017,22.49350043
5.857275,0.257514,22.74546238
5.980622,0.260009,23.0015961
6.108028,0.262508,23.26796898
6.240087,0.265009,23.54669841
6.372466,0.267515,23.82096705
6.50952,0.270014,24.10808328
6.640044,0.272514,24.36588212
6.792929,0.275006,24.70102107
6.941061,0.277503,25.01256203
7.091903,0.280006,25.32768226
7.246346,0.282503,25.65050991
7.406653,0.284994,25.98880327
7.570695,0.287492,26.33358493
7.736762,0.289998,26.67867365
7.909129,0.292502,27.03957238
8.085382,0.295,27.40807458
8.265428,0.297492,27.78369839
8.454727,0.299984,28.18392648
8.643998,0.30248,28.57708939
8.841902,0.30498,28.99174372
9.045716,0.307476,29.41925874
9.252217,0.309973,29.84846099
9.463123,0.312483,30.28364103
9.68416,0.314982,30.74512194
9.910712,0.317487,31.21611909
10.134899,0.319981,31.67343999
10.376536,0.322481,32.17720114
10.623202,0.32497,32.6897929
10.872603,0.327467,33.20213334
11.133916,0.329972,33.74200235
11.401127,0.332466,34.29261037
11.672547,0.334976,34.8459203
11.95849,0.337474,35.43529279
12.239933,0.339972,36.00276788
12.540587,0.34247,36.61805998
12.841263,0.344969,37.22439697
13.159066,0.347457,37.87250221
13.468338,0.349953,38.48613385
13.805634,0.352452,39.17025297
14.142417,0.354949,39.84351836
14.495378,0.357447,40.55252387
14.845366,0.359966,41.24102276
15.216737,0.362457,41.98218547
15.602901,0.364957,42.75271059
15.984832,0.367454,43.50158659
16.373796,0.369956,44.25876591
16.784777,0.372445,45.06645813
17.199692,0.374944,45.87269566
17.620386,0.377447,46.68307339
18.050068,0.379935,47.50830537
18.494034,0.382453,48.35635751
18.941086,0.384943,49.20491086
19.399143,0.387435,50.07070347
19.8645,0.389934,50.94323655
20.347277,0.392431,51.84931109
20.81671,0.394929,52.7100061
21.001394,0.394964,53.17293222
21.001398,0.38968,53.89395915
