V,TC,TK,TPOL
11.61,282,555.15,86865802387
11.61,282,555.15,86865802387
11.63,282,555.15,86865802387
11.63,282,555.15,86865802387
11.64,282,555.15,86865802387
11.64,282,555.15,86865802387
11.64,282,555.15,86865802387
11.64,281,554.15,86183279221
11.65,282,555.15,86865802387
11.65,282,555.15,86865802387
11.67,281,554.15,86183279221
11.69,281,554.15,86183279221
11.69,281,554.15,86183279221
11.69,281,554.15,86183279221
11.7,280,553.15,85504441045
11.69,280,553.15,85504441045
11.7,281,554.15,86183279221
11.7,281,554.15,86183279221
11.7,281,554.15,86183279221
11.7,280,553.15,85504441045
11.71,280,553.15,85504441045
11.71,280,553.15,85504441045
11.71,280,553.15,85504441045
11.71,280,553.15,85504441045
11.73,280,553.15,85504441045
11.71,279,552.15,84829274569
11.73,279,552.15,84829274569
11.73,279,552.15,84829274569
11.73,279,552.15,84829274569
11.73,279,552.15,84829274569
11.74,278,551.15,84157766531
11.76,279,552.15,84829274569
11.74,278,551.15,84157766531
11.74,278,551.15,84157766531
11.74,279,552.15,84829274569
11.74,278,551.15,84157766531
11.74,278,551.15,84157766531
11.76,278,551.15,84157766531
11.76,278,551.15,84157766531
11.76,278,551.15,84157766531
11.76,277,550.15,83489903691
11.74,278,551.15,84157766531
11.76,277,550.15,83489903691
11.78,277,550.15,83489903691
11.76,277,550.15,83489903691
11.74,277,550.15,83489903691
11.76,276,549.15,82825672833
11.76,277,550.15,83489903691
11.74,277,550.15,83489903691
11.76,276,549.15,82825672833
11.76,276,549.15,82825672833
11.74,276,549.15,82825672833
11.76,276,549.15,82825672833
11.76,276,549.15,82825672833
11.76,276,549.15,82825672833
11.76,276,549.15,82825672833
11.74,275,548.15,82165060766
11.76,276,549.15,82825672833
11.76,276,549.15,82825672833
11.74,275,548.15,82165060766
11.76,275,548.15,82165060766
11.74,275,548.15,82165060766
11.74,275,548.15,82165060766
11.74,274,547.15,81508054321
11.74,274,547.15,81508054321
11.74,274,547.15,81508054321
11.73,274,547.15,81508054321
11.74,274,547.15,81508054321
11.74,274,547.15,81508054321
11.73,273,546.15,80854640357
11.74,274,547.15,81508054321
11.73,274,547.15,81508054321
11.73,273,546.15,80854640357
11.71,273,546.15,80854640357
11.73,273,546.15,80854640357
11.7,273,546.15,80854640357
11.73,273,546.15,80854640357
11.71,272,545.15,80204805752
11.71,273,546.15,80854640357
11.7,272,545.15,80204805752
