V,TC,TK,TPOL
0.01,28,301.15,108703822.7
0.01,28,301.15,108703822.7
0.01,28,301.15,108703822.7
0.01,29,302.15,218495943.4
0,29,302.15,218495943.4
0.01,29,302.15,218495943.4
0.01,30,303.15,329383601.5
0.01,30,303.15,329383601.5
0.01,30,303.15,329383601.5
0.01,31,304.15,441374060.6
0.01,31,304.15,441374060.6
0.02,31,304.15,441374060.6
0.01,31,304.15,441374060.6
0.01,32,305.15,554474608.4
0.01,32,305.15,554474608.4
0.01,33,306.15,668692556.5
0.01,32,305.15,554474608.4
0.03,33,306.15,668692556.5
0.03,33,306.15,668692556.5
0.02,34,307.15,784035240.5
0.02,35,308.15,900510019.9
0.03,34,307.15,784035240.5
0.03,35,308.15,900510019.9
0.03,36,309.15,1018124278
0.03,36,309.15,1018124278
0.04,36,309.15,1018124278
0.03,37,310.15,1136885424
0.03,36,309.15,1018124278
0.04,37,310.15,1136885424
0.04,38,311.15,1256800887
0.04,38,311.15,1256800887
0.04,38,311.15,1256800887
0.04,39,312.15,1377878124
0.05,39,312.15,1377878124
0.04,40,313.15,1500124615
0.04,40,313.15,1500124615
0.04,41,314.15,1623547863
0.06,41,314.15,1623547863
0.05,42,315.15,1748155396
0.05,42,315.15,1748155396
0.06,42,315.15,1748155396
0.06,42,315.15,1748155396
0.06,43,316.15,1873954764
0.07,43,316.15,1873954764
0.07,44,317.15,2000953545
0.07,44,317.15,2000953545
0.07,45,318.15,2129159337
0.07,45,318.15,2129159337
0.07,46,319.15,2258579764
0.07,46,319.15,2258579764
0.08,47,320.15,2389222474
0.07,47,320.15,2389222474
0.08,48,321.15,2521095138
0.09,48,321.15,2521095138
0.08,49,322.15,2654205452
0.08,49,322.15,2654205452
0.1,50,323.15,2788561136
0.09,49,322.15,2654205452
0.1,50,323.15,2788561136
0.1,51,324.15,2924169932
0.1,51,324.15,2924169932
0.1,52,325.15,3061039610
0.1,52,325.15,3061039610
0.11,52,325.15,3061039610
0.1,53,326.15,3199177959
0.11,53,326.15,3199177959
0.12,54,327.15,3338592797
0.12,54,327.15,3338592797
0.13,55,328.15,3479291961
0.12,55,328.15,3479291961
0.13,55,328.15,3479291961
0.13,56,329.15,3621283317
0.13,56,329.15,3621283317
0.14,57,330.15,3764574752
0.14,57,330.15,3764574752
0.14,58,331.15,3909174177
0.14,58,331.15,3909174177
0.14,59,332.15,4055089527
0.15,60,333.15,4202328764
0.14,59,332.15,4055089527
0.15,60,333.15,4202328764
0.15,61,334.15,4350899869
0.16,61,334.15,4350899869
0.16,62,335.15,4500810851
0.16,62,335.15,4500810851
0.17,63,336.15,4652069741
