a_1;i_1;a_2;i_2;a_3;i_3;a_4;i_4;a_5;i_5;a_6;i_6;a_7;i_7;a_8;i_8;a_9;i_9;a_10;i_10;a_11;i_11
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0;0;0;0;0;0.1;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0;0;0;0;0;0;0.017;0
0;-0.1;0;0;0;0;0;0;0;0;0.017;0;0;0;0;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0.1;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0.1;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0.1;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;-0.1;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0.1
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0.1;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0.1;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0.1;0;0;-0.017;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0.1;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;0;0;0;0;0;0;0.1;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;-0.1;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;-0.017;0;0.017;0
0;0;0;0;0;-0.1;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;-0.1;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0.1;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0.1;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;-0.1;0;0;0;0;0;0;0;0;0.017;-0.1;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0.017;0;0.017;0;0;0;0.017;0;0;0;0;0;0.017;0
0;0;0;0;0;0;0;0;0.017;0;0.017;0;0;0.1;0.017;0;0;0;0;0;0.017;0
