Theta,R,Lambda
2,16.3,14.05053737
2.1,15.5,14.75275713
2.2,16.9,15.45493194
2.3,16.4,16.15705967
2.4,15.4,16.85913819
2.5,15.7,17.56116535
2.6,15.3,18.26313902
2.7,15.3,18.96505706
2.8,16,19.66691732
2.9,15.1,20.36871767
3,16.7,21.07045598
3.1,16.7,21.77213011
3.2,18.5,22.47373791
3.3,18,23.17527725
3.4,21.6,23.876746
3.5,18,24.57814202
3.6,20.3,25.27946316
3.7,21.1,25.9807073
3.8,21.9,26.6818723
3.9,22,27.38295602
4,23.1,28.08395633
4.1,22,28.78487109
4.2,23.8,29.48569816
4.3,25,30.18643542
4.4,24.8,30.88708072
4.5,23.6,31.58763194
4.6,27.7,32.28808693
4.7,28.4,32.98844357
4.8,29.4,33.68869973
4.9,32.1,34.38885326
5,31,35.08890203
5.1,49.7,35.78884392
5.2,88.5,36.48867679
5.3,141.7,37.18839851
5.4,186.6,37.88800694
5.5,239.3,38.58749996
5.6,281.9,39.28687544
5.7,303.9,39.98613125
5.8,325.2,40.68526525
5.9,346.2,41.38427531
6,356.3,42.08315931
6.1,382.9,42.78191512
6.2,382.8,43.48054061
6.3,397,44.17903365
6.4,405.9,44.87739211
6.5,411.2,45.57561386
6.6,419.2,46.27369679
6.7,411.2,46.97163876
6.8,425.1,47.66943764
6.9,421.2,48.36709131
7,422.3,49.06459765
7.1,425,49.76195454
7.2,436.3,50.45915983
7.3,429.3,51.15621142
7.4,425.5,51.85310718
7.5,430.7,52.54984499
7.6,430.1,53.24642272
7.7,439.2,53.94283825
7.8,417.8,54.63908946
7.9,430.6,55.33517423
8,427.7,56.03109045
8.1,436.5,56.72683598
8.2,428,57.42240871
8.3,413.4,58.11780652
8.4,426.3,58.8130273
8.5,413,59.50806892
8.6,418.8,60.20292927
8.7,441.5,60.89760623
8.8,537.5,61.59209769
8.9,802.5,62.28640152
9,1083.3,62.98051563
9.1,1031.8,63.67443788
9.2,783.5,64.36816616
9.3,508.1,65.06169838
9.4,448.3,65.7550324
9.5,440,66.44816612
9.6,432.5,67.14109743
9.7,451.9,67.83382421
9.8,467.6,68.52634436
9.9,511.4,69.21865577
10,1135.6,69.91075633
10.1,2470.4,70.60264392
10.2,2749.9,71.29431645
10.3,2218.7,71.98577181
10.4,992.5,72.67700788
10.5,473.5,73.36802256
10.6,415.9,74.05881376
10.7,391.3,74.74937935
10.8,388.3,75.43971725
10.9,377.9,76.12982535
11,371.2,76.81970154
11.1,352.7,77.50934372
11.2,335.4,78.1987498
11.3,337.3,78.88791767
11.4,331.6,79.57684524
11.5,320.6,80.2655304
11.6,312.7,80.95397105
11.7,302.5,81.64216511
11.8,295.3,82.33011047
11.9,276.1,83.01780504
12,274.5,83.70524672
12.1,267.7,84.39243343
12.2,260.3,85.07936305
12.3,244.8,85.76603351
12.4,246.4,86.45244272
12.5,235.5,87.13858857
12.6,238.6,87.82446899
12.7,229.4,88.51008187
12.8,228,89.19542514
12.9,213.5,89.88049671
13,226.4,90.56529448
13.1,209.6,91.24981637
13.2,195.4,91.93406031
13.3,182.8,92.61802419
13.4,167.3,93.30170595
13.5,162.4,93.98510349
13.6,148.8,94.66821474
13.7,150.9,95.35103761
13.8,134.5,96.03357002
13.9,134.4,96.7158099
14,136.1,97.39775517
14.1,127.1,98.07940375
14.2,127.9,98.76075355
14.3,128,99.44180252
14.4,125.4,100.1225486
14.5,116.4,100.8029896
14.6,119.4,101.4831236
14.7,108.5,102.1629485
14.8,110.9,102.8424621
14.9,111.9,103.5216625
15,114.3,104.2005476
15.1,105.1,104.8791152
15.2,102.2,105.5573633
15.3,105.5,106.2352899
15.4,99.2,106.9128929
15.5,100.2,107.5901702
15.6,98.7,108.2671198
15.7,95.8,108.9437395
15.8,96.9,109.6200275
15.9,97.6,110.2959814
16,87.9,110.9715995
16.1,90.6,111.6468794
16.2,94.1,112.3218193
16.3,84.8,112.996417
16.4,85.3,113.6706705
16.5,86.3,114.3445778
16.6,81.5,115.0181367
16.7,81.7,115.6913453
16.8,86.2,116.3642014
16.9,88.8,117.0367031
17,85.2,117.7088483
17.1,81.8,118.3806349
17.2,77.7,119.0520609
17.3,76.8,119.7231243
17.4,84.4,120.393823
17.5,82,121.0641549
17.6,78,121.734118
17.7,78.7,122.4037103
17.8,81.4,123.0729298
17.9,94,123.7417743
18,99.1,124.4102419
18.1,103.9,125.0783306
18.2,143.3,125.7460382
18.3,172.5,126.4133628
18.4,159.8,127.0803023
18.5,115.4,127.7468547
18.6,87.5,128.4130179
18.7,82.8,129.07879
18.8,77.9,129.7441689
18.9,72.4,130.4091526
19,75.8,131.073739
19.1,74.3,131.7379261
19.2,82.1,132.401712
19.3,81.4,133.0650945
19.4,78,133.7280717
19.5,80.3,134.3906415
19.6,71.8,135.052802
19.7,73.4,135.714551
19.8,74,136.3758867
19.9,76.7,137.0368069
20,75.6,137.6973097
20.1,77.1,138.357393
20.2,79.5,139.0170549
20.3,84.5,139.6762933
20.4,102.9,140.3351063
20.5,229.7,140.9934917
20.6,403.3,141.6514476
20.7,475.9,142.3089721
20.8,358.2,142.9660631
20.9,200.1,143.6227185
21,99.6,144.2789365
21.1,76.2,144.9347149
21.2,68.5,145.5900519
21.3,65.5,146.2449454
21.4,66.4,146.8993934
21.5,67.3,147.5533939
21.6,62.8,148.2069449
21.7,62.2,148.8600445
21.8,66.1,149.5126906
21.9,62.1,150.1648813
22,61,150.8166145
22.1,66.9,151.4678883
22.2,55.5,152.1187008
22.3,60,152.7690498
22.4,61,153.4189335
22.5,60.5,154.0683499
22.6,62.9,154.7172969
22.7,56.4,155.3657726
22.8,63.1,156.0137751
22.9,59.8,156.6613023
23,56,157.3083523
23.1,54.5,157.9549231
23.2,55.1,158.6010128
23.3,54.7,159.2466193
23.4,57,159.8917408
23.5,55.5,160.5363751
23.6,55.7,161.1805205
23.7,52.8,161.8241749
23.8,53.1,162.4673363
23.9,54.6,163.1100028
24,49.8,163.7521725
24.1,51.3,164.3938433
24.2,50.9,165.0350134
24.3,49.9,165.6756808
24.4,50.8,166.3158434
24.5,50.6,166.9554995
24.6,45.2,167.594647
24.7,50,168.2332839
24.8,46.5,168.8714084
24.9,45.4,169.5090185
25,47.4,170.1461122
25.1,47.2,170.7826876
25.2,43.7,171.4187428
25.3,46.5,172.0542758
25.4,45.4,172.6892847
25.5,47.6,173.3237676
25.6,48,173.9577225
25.7,42.3,174.5911475
25.8,41.5,175.2240406
25.9,45.9,175.8564
26,49.1,176.4882237
26.1,45.3,177.1195098
26.2,43.6,177.7502563
26.3,41.8,178.3804614
26.4,44.7,179.0101231
26.5,43.7,179.6392396
26.6,43.4,180.2678088
26.7,44.9,180.8958288
26.8,38.4,181.5232979
26.9,44.3,182.150214
27,39.6,182.7765752
27.1,38.1,183.4023797
27.2,41.5,184.0276254
27.3,38.9,184.6523106
27.4,36.8,185.2764334
27.5,38.4,185.8999917
27.6,44.4,186.5229837
27.7,43.7,187.1454076
27.8,37.8,187.7672614
27.9,40.7,188.3885432
28,54.2,189.0092512
28.1,54.7,189.6293834
28.2,51,190.2489379
28.3,45,190.867913
28.4,39.3,191.4863066
28.5,37.5,192.1041169
28.6,34.4,192.721342
28.7,32.8,193.3379801
28.8,36.1,193.9540292
28.9,33.9,194.5694875
29,36.3,195.1843531
29.1,34.6,195.7986242
29.2,33.8,196.4122988
29.3,32.6,197.0253751
29.4,34.6,197.6378512
29.5,37.5,198.2497253
29.6,33.6,198.8609955
29.7,35.6,199.4716599
29.8,36.1,200.0817167
29.9,34.3,200.691164
30,31.6,201.3
30.1,30.7,201.9082228
30.2,35.2,202.5158305
30.3,34.1,203.1228213
30.4,31.2,203.7291934
30.5,30.9,204.3349449
30.6,33.3,204.940074
30.7,33.5,205.5445788
30.8,29.6,206.1484574
30.9,28.7,206.7517081
31,34.6,207.354329
31.1,32.1,207.9563182
31.2,31.9,208.557674
31.3,34.5,209.1583944
31.4,30,209.7584778
31.5,35.1,210.3579222
31.6,35.5,210.9567257
31.7,51.4,211.5548867
31.8,78.4,212.1524033
31.9,91.7,212.7492736
32,87.1,213.3454958
32.1,74.6,213.9410681
32.2,50.4,214.5359887
32.3,35,215.1302559
32.4,31.9,215.7238677
32.5,29.7,216.3168223
32.6,28.2,216.909118
32.7,30.4,217.500753
32.8,26.2,218.0917255
32.9,29,218.6820336
33,27.5,219.2716755
33.1,27.6,219.8606495
33.2,28.6,220.4489538
33.3,28,221.0365865
33.4,28.3,221.623546
33.5,27.9,222.2098303
33.6,28.5,222.7954377
33.7,28.6,223.3803665
33.8,28.2,223.9646148
33.9,25.5,224.5481809
34,23.8,225.1310629
34.1,24.3,225.7132592
34.2,27.1,226.2947679
34.3,23.4,226.8755873
34.4,25.2,227.4557156
34.5,26.7,228.035151
34.6,27.5,228.6138918
34.7,24.8,229.1919361
34.8,24.1,229.7692823
34.9,26.3,230.3459286
35,26,230.9218733
