Theta,Lambda,R
2,19.68331614,7.9
2.1,20.66705171,8.2
2.2,21.65072433,9.3
2.3,22.63433099,8.9
2.4,23.6178687,8.6
2.5,24.60133447,8.1
2.6,25.5847253,8.1
2.7,26.5680382,8.3
2.8,27.55127016,8.8
2.9,28.5344182,8.6
3,29.51747932,9
3.1,30.50045052,8.5
3.2,31.48332882,10.9
3.3,32.46611121,11.3
3.4,33.4487947,10.9
3.5,34.4313763,24.4
3.6,35.41385301,60.6
3.7,36.39622185,139.5
3.8,37.37847983,244.6
3.9,38.36062394,352.5
4,39.34265119,418.1
4.1,40.3245586,481
4.2,41.30634318,510.3
4.3,42.28800193,538.4
4.4,43.26953186,539
4.5,44.25092999,549.8
4.6,45.23219332,540.3
4.7,46.21331887,556.1
4.8,47.19430364,538.9
4.9,48.17514465,539.5
5,49.15583891,533
5.1,50.13638343,519.4
5.2,51.11677523,530.1
5.3,52.09701132,513.4
5.4,53.07708871,503
5.5,54.05700442,497.3
5.6,55.03675546,498.2
5.7,56.01633886,484.2
5.8,56.99575161,480.5
5.9,57.97499075,482.4
6,58.95405328,471.5
6.1,59.93293623,457.6
6.2,60.91163662,528
6.3,61.89015146,808.7
6.4,62.86847776,998.7
6.5,63.84661257,965.3
6.6,64.82455288,797.7
6.7,65.80229572,512.3
6.8,66.77983812,466.5
6.9,67.7571771,452.5
7,68.73430968,591.4
7.1,69.71123288,1620.4
7.2,70.68794373,2139.3
7.3,71.66443925,2197.5
7.4,72.64071647,1652.1
7.5,73.61677241,634.6
7.6,74.59260411,402.8
7.7,75.56820858,384.9
7.8,76.54358285,383.6
7.9,77.51872396,377.9
8,78.49362894,350
8.1,79.46829481,326.6
8.2,80.44271861,327.9
8.3,81.41689736,316.1
8.4,82.39082811,299.9
8.5,83.36450788,289.2
8.6,84.3379337,283.4
8.7,85.31110262,275
8.8,86.28401166,262.6
8.9,87.25665787,247.8
9,88.22903828,245.1
9.1,89.20114993,223.2
9.2,90.17298986,229.9
9.3,91.1445551,208.7
9.4,92.1158427,203.3
9.5,93.08684971,188.1
9.6,94.05757315,176.4
9.7,95.02801007,160.4
9.8,95.99815753,150.5
9.9,96.96801256,152.7
10,97.9375722,139.9
10.1,98.90683352,139.7
10.2,99.87579354,128.6
10.3,100.8444493,127.9
10.4,101.8127979,124.5
10.5,102.7808364,117.1
10.6,103.7485617,113.4
10.7,104.7159711,116.3
10.8,105.6830614,105.6
10.9,106.6498298,102.2
11,107.6162734,99.7
11.1,108.5823891,100.6
11.2,109.5481741,108.4
11.3,110.5136254,99.5
11.4,111.47874,95.8
11.5,112.443515,97.8
11.6,113.4079475,96.7
11.7,114.3720346,94.9
11.8,115.3357732,96.6
11.9,116.2991606,92.1
12,117.2621936,93.7
12.1,118.2248695,90.4
12.2,119.1871852,93.3
12.3,120.1491379,95.8
12.4,121.1107245,93.2
12.5,122.0719423,91.5
12.6,123.0327881,108.6
12.7,123.9932593,133.8
12.8,124.9533527,182.7
12.9,125.9130654,249.5
13,126.8723946,244.6
13.1,127.8313374,191.6
13.2,128.7898907,110.5
13.3,129.7480518,102.1
13.4,130.7058176,96.7
13.5,131.6631852,90.6
13.6,132.6201518,91.9
13.7,133.5767144,91.5
13.8,134.5328701,92.7
13.9,135.488616,88.9
14,136.4439491,86.8
14.1,137.3988666,90.3
14.2,138.3533656,94.5
14.3,139.3074432,112.3
14.4,140.2610964,267.5
14.5,141.2143223,524.6
14.6,142.167118,677.5
14.7,143.1194807,606
14.8,144.0714075,319.2
14.9,145.0228953,103.3
15,145.9739414,82.9
15.1,146.9245429,77.7
15.2,147.8746968,77.2
15.3,148.8244002,73.5
15.4,149.7736503,73.4
15.5,150.7224441,70.2
15.6,151.6707788,77.3
15.7,152.6186515,69.2
15.8,153.5660593,66
15.9,154.5129993,72
16,155.4594687,63.9
16.1,156.4054645,66.3
16.2,157.3509838,62.8
16.3,158.2960238,63.3
16.4,159.2405817,60.4
16.5,160.1846544,61.6
16.6,161.1282392,61.6
16.7,162.0713332,65.1
16.8,163.0139335,52.6
16.9,163.9560372,51.9
17,164.8976415,51.9
17.1,165.8387434,48.6
17.2,166.7793402,52.5
17.3,167.719429,41.9
17.4,168.6590068,46.5
17.5,169.5980709,45.9
17.6,170.5366184,45.4
17.7,171.4746464,45.6
17.8,172.412152,44.9
17.9,173.3491324,47.5
18,174.2855848,43.8
18.1,175.2215063,42.4
18.2,176.156894,41.5
18.3,177.0917452,41.4
18.4,178.0260568,43
18.5,178.9598262,43.1
18.6,179.8930504,41.7
18.7,180.8257267,36.4
18.8,181.7578521,36.5
18.9,182.6894239,42.8
19,183.6204391,39.1
19.1,184.550895,38.9
19.2,185.4807888,39.6
19.3,186.4101175,42.3
19.4,187.3388784,45.7
19.5,188.2670686,57.3
19.6,189.1946853,67.5
19.7,190.1217258,72.8
19.8,191.048187,51.4
19.9,191.9740663,34
20,192.8993608,33
20.1,193.8240677,30.7
20.2,194.7481842,30.3
20.3,195.6717075,28.4
20.4,196.5946347,28.5
20.5,197.516963,30.2
20.6,198.4386897,29.1
20.7,199.3598119,28.5
20.8,200.2803268,28.5
20.9,201.2002316,27.5
21,202.1195235,26.6
21.1,203.0381998,24
21.2,203.9562575,26
21.3,204.873694,29.2
21.4,205.7905064,25.3
21.5,206.7066919,27.2
21.6,207.6222477,26.8
21.7,208.5371711,26.6
21.8,209.4514593,31.8
21.9,210.3651094,40.9
22,211.2781187,84.1
22.1,212.1904844,138.3
22.2,213.1022038,179.9
22.3,214.013274,147.3
22.4,214.9236923,84.5
22.5,215.8334559,42.6
22.6,216.742562,25.4
22.7,217.6510079,23.9
22.8,218.5587908,22.8
22.9,219.4659079,24.8
23,220.3723565,24.3
23.1,221.2781338,19.3
23.2,222.183237,21.9
23.3,223.0876634,19.7
23.4,223.9914103,21.7
23.5,224.8944749,20.9
23.6,225.7968544,19.5
23.7,226.698546,21.1
23.8,227.5995471,19.7
23.9,228.4998549,18.4
24,229.3994667,18.7
24.1,230.2983797,19.9
24.2,231.1965911,19.2
24.3,232.0940983,18.4
24.4,232.9908984,18.7
24.5,233.8869889,17.5
24.6,234.7823668,17.7
24.7,235.6770296,18
24.8,236.5709745,17.2
24.9,237.4641987,18.1
25,238.3566996,16.5
25.1,239.2484744,17.2
25.2,240.1395204,16.3
25.3,241.029835,16.1
25.4,241.9194152,15.5
25.5,242.8082586,18.3
25.6,243.6963623,16.1
25.7,244.5837237,15.4
25.8,245.47034,14.8
25.9,246.3562086,14.2
26,247.2413268,14.7
26.1,248.1256918,17.5
26.2,249.009301,17.2
26.3,249.8921516,15.1
26.4,250.7742411,18.6
26.5,251.6555666,21.8
26.6,252.5361255,24.6
26.7,253.4159152,22.4
26.8,254.2949329,17.6
26.9,255.1731761,15.6
27,256.0506419,14.9
27.1,256.9273277,15.7
27.2,257.8032309,13.4
27.3,258.6783487,13.8
27.4,259.5526786,13.1
27.5,260.4262179,14.1
27.6,261.2989638,13.3
27.7,262.1709138,12.8
27.8,263.0420652,14.3
27.9,263.9124152,12.5
28,264.7819614,12.8
28.1,265.650701,13.7
28.2,266.5186314,13.3
28.3,267.3857499,13.3
28.4,268.2520539,13.4
28.5,269.1175408,12.5
28.6,269.9822079,11.8
28.7,270.8460526,14.1
28.8,271.7090722,13.8
28.9,272.5712642,11.4
29,273.4326258,11.5
29.1,274.2931546,12.6
29.2,275.1528478,11
29.3,276.0117028,11.9
29.4,276.869717,10.5
29.5,277.7268879,12.6
29.6,278.5832128,13.5
29.7,279.438689,12.3
29.8,280.293314,12.6
29.9,281.1470852,18.3
30,282,21.2
